               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10617,             0.12603,             0.03894,             0.22371,             0.27621,             0.12053,            0.025168,            0.078318,             0.12714,            0.028883,              0.0793,              0.0023,              0.0023
                   1,            0.078479,            0.098202,            0.025411,             0.68693,              0.4353,             0.52377,             0.23404,            0.079148,             0.11568,            0.016917,            0.057691,           0.0046907,           0.0046907
                   2,            0.078839,            0.080372,            0.019821,             0.52285,             0.28963,             0.27216,            0.093763,            0.090544,            0.089958,            0.015106,            0.036072,           0.0070719,           0.0070719
                   3,            0.084371,            0.070604,             0.01741,             0.25643,              0.7773,             0.41713,             0.11308,            0.083295,            0.061661,            0.012888,            0.014444,           0.0094436,           0.0094436
                   4,            0.081899,            0.069347,            0.015518,             0.37788,             0.93478,              0.8341,              0.3164,            0.068079,             0.06913,            0.010703,           0.0099208,           0.0099208,           0.0099208
                   5,            0.069592,            0.067485,            0.014685,             0.86783,             0.54957,               0.895,             0.40193,            0.056323,             0.06295,           0.0098316,           0.0099208,           0.0099208,           0.0099208
                   6,            0.057749,            0.065583,            0.011413,             0.60893,             0.97185,              0.9622,              0.5218,             0.04725,            0.067314,           0.0059197,            0.009901,            0.009901,            0.009901
                   7,             0.05419,            0.064076,            0.009441,             0.59498,             0.98507,             0.94237,             0.46488,            0.041973,            0.064362,           0.0054013,           0.0098812,           0.0098812,           0.0098812
                   8,            0.045909,             0.06281,           0.0085484,             0.72703,             0.96871,             0.89447,             0.35904,            0.052102,            0.064095,           0.0039113,           0.0098614,           0.0098614,           0.0098614
                   9,            0.047329,            0.059247,           0.0076234,             0.92099,             0.97211,             0.98925,             0.54768,            0.033307,            0.053482,           0.0032942,           0.0098416,           0.0098416,           0.0098416
                  10,              0.0413,            0.061623,           0.0066546,             0.95367,              0.9698,             0.98952,             0.67523,            0.030515,            0.055775,           0.0030759,           0.0098218,           0.0098218,           0.0098218
                  11,            0.040806,            0.059842,            0.006268,             0.95151,             0.95168,             0.98973,             0.62363,            0.035175,            0.054691,           0.0032089,            0.009802,            0.009802,            0.009802
                  12,            0.040514,            0.057913,           0.0073878,             0.99727,             0.99633,               0.995,             0.73142,            0.023729,             0.04731,           0.0037994,           0.0097822,           0.0097822,           0.0097822
                  13,            0.036656,            0.053461,           0.0062404,             0.85909,             0.88657,             0.98053,              0.5033,            0.031635,            0.053795,           0.0029383,           0.0097624,           0.0097624,           0.0097624
                  14,            0.035052,             0.05611,           0.0060516,             0.95548,             0.99328,             0.99153,             0.64992,             0.03275,            0.053265,           0.0028144,           0.0097426,           0.0097426,           0.0097426
                  15,            0.033631,            0.054796,           0.0059652,             0.99585,                   1,               0.995,             0.66549,            0.028835,            0.052456,           0.0026791,           0.0097228,           0.0097228,           0.0097228
                  16,            0.034654,            0.052712,           0.0056883,             0.96993,             0.99412,             0.99438,             0.67124,            0.027132,            0.049519,            0.002772,            0.009703,            0.009703,            0.009703
                  17,            0.034967,            0.052255,           0.0058748,             0.98365,             0.99502,             0.99453,             0.80493,            0.020741,            0.045856,           0.0028911,           0.0096832,           0.0096832,           0.0096832
                  18,            0.032941,            0.050018,           0.0046626,             0.99708,                   1,               0.995,             0.56443,            0.032541,            0.051678,           0.0023738,           0.0096634,           0.0096634,           0.0096634
                  19,             0.03382,              0.0521,           0.0048546,             0.99785,             0.99832,               0.995,             0.70453,            0.024426,            0.046665,            0.002443,           0.0096436,           0.0096436,           0.0096436
                  20,            0.031587,            0.048738,           0.0049631,             0.99477,             0.99747,             0.99495,             0.60525,            0.025752,            0.049652,           0.0027615,           0.0096238,           0.0096238,           0.0096238
