                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3183,                 3.6921,                 1.3334,                0.00878,                0.05291,                0.00622,                0.00331,                 1.1314,                 3.9048,                 1.3235,              7.145e-05,              7.145e-05,              7.145e-05
                      2,                0.85192,                 1.7818,                 1.0636,                0.76227,                0.79846,                0.82278,                0.68677,                0.55877,                 1.2896,                0.91503,              0.0001568,              0.0001568,              0.0001568
                      3,                0.55908,                0.64551,                0.86933,                0.87443,                0.92391,                 0.9328,                0.83259,                0.46652,                 1.4603,                0.85254,             0.00024173,             0.00024173,             0.00024173
                      4,                0.49807,                0.46295,                0.84271,                0.92682,                0.93321,                0.95576,                0.84874,                0.51246,                0.83028,                0.85949,             0.00032623,             0.00032623,             0.00032623
                      5,                0.50495,                0.42607,                0.83797,                0.85666,                0.90132,                0.92277,                0.81948,                0.47425,                 1.2695,                0.85394,             0.00041031,             0.00041031,             0.00041031
                      6,                0.48706,                0.38798,                0.83762,                0.94479,                0.93498,                0.92949,                0.82024,                0.52261,                0.91936,                0.86082,             0.00049396,             0.00049396,             0.00049396
                      7,                0.49394,                0.37535,                0.84273,                0.94812,                0.94167,                0.92519,                0.81421,                0.53018,                 0.6522,                0.85801,             0.00057719,             0.00057719,             0.00057719
                      8,                0.47951,                0.36182,                0.84239,                 0.8097,                0.84588,                0.91249,                0.79914,                0.52281,                0.68664,                0.85521,             0.00065999,             0.00065999,             0.00065999
                      9,                0.47223,                0.34602,                0.83744,                0.93646,                0.94083,                0.94313,                0.82984,                0.50306,                0.56363,                 0.8542,             0.00074237,             0.00074237,             0.00074237
                     10,                 0.4773,                0.32914,                0.83784,                0.87888,                0.85758,                0.90895,                0.80371,                0.51765,                0.57455,                0.85613,             0.00082433,             0.00082433,             0.00082433
                     11,                0.47507,                0.34675,                0.83943,                0.83583,                0.70078,                0.78375,                0.67272,                0.61024,                 1.0226,                0.90117,             0.00090586,             0.00090586,             0.00090586
